model,exp,layer,n_steps,final_norm,final_cos_prev,mean_cos_prev,net_disp,path_len,straightness,converge_frac
qwen3-4b-opd,singlev_layers7-8_lr1e-3,8,81,2.8930397033691406,0.9999442100524902,0.9998246476054191,2.859952926635742,3.541681282222271,0.8075127880624058,0.6666666666666666
ifevalg-opd,singlev_layers0-10_lr1e-1,0,364,15.461725234985352,0.9995725750923157,0.9987744907373896,16.533832550048828,187.646901845932,0.0881114070490968,0.6923076923076923
ifevalg-opd,singlev_layers0-10_lr1e-1,1,364,15.556950569152832,0.999594509601593,0.9987313422289762,16.33429718017578,183.91602784395218,0.08881388627006992,0.6923076923076923
ifevalg-opd,singlev_layers0-10_lr1e-1,2,364,19.67302131652832,0.9997687339782715,0.9989215634742716,20.32679557800293,187.51330623030663,0.10840188350706834,0.6593406593406593
ifevalg-opd,singlev_layers0-10_lr1e-1,3,364,22.1965389251709,0.9998231530189514,0.9990124894567758,22.83685874938965,188.73925334215164,0.12099686919917169,0.6620879120879121
ifevalg-opd,singlev_layers0-10_lr1e-1,4,364,24.96797752380371,0.9998509287834167,0.9991146222618986,25.506925582885742,193.78676050901413,0.13162367499145675,0.6675824175824175
ifevalg-opd,singlev_layers0-10_lr1e-1,5,364,28.26694107055664,0.999882161617279,0.9991604761315444,28.770761489868164,193.35917854309082,0.148794392418545,0.6648351648351648
ifevalg-opd,singlev_layers0-10_lr1e-1,6,364,34.583072662353516,0.9999178051948547,0.9992644397680425,34.914215087890625,205.0487241744995,0.1702727740855296,0.6510989010989011
ifevalg-opd,singlev_layers0-10_lr1e-1,7,364,36.48710250854492,0.9999252557754517,0.9992949010255251,36.677127838134766,210.13604074716568,0.1745399204616425,0.6648351648351648
ifevalg-opd,singlev_layers0-10_lr1e-1,8,364,37.030303955078125,0.9999268651008606,0.9993477972742612,37.16553497314453,208.7932284772396,0.17800162986222476,0.6675824175824175
ifevalg-opd,singlev_layers0-10_lr1e-1,9,364,40.35850524902344,0.9999327063560486,0.9993628166595439,40.21356964111328,221.92841666936874,0.18120063327006866,0.6648351648351648
ifevalg-opd,singlev_layers0-10_lr1e-1,10,364,54.15532684326172,0.9999676942825317,0.9994248348819322,53.66706848144531,228.96562778949738,0.2343891919479934,0.5796703296703297
ifevalg-opd,singlev_layers0-1_lr1e-1,0,123,25.925439834594727,0.9996480941772461,0.9981039532872497,26.45931053161621,142.71021592617035,0.18540586152083646,0.8455284552845529
ifevalg-opd,singlev_layers0-1_lr1e-1,1,123,46.25416564941406,0.9998794198036194,0.9985442259272591,45.829917907714844,146.08004021644592,0.313731553193776,0.7317073170731707
ifevalg-opd,singlev_layers10-11_lr1e-1,10,145,52.316158294677734,0.9999656081199646,0.9992086928751733,51.84935760498047,142.11461213231087,0.3648418472036354,0.6137931034482759
